Site,Structure Type,Latitude,Longitude,Area (ha),Potential population
Mt01,circular enclosure,-9.4071,-57.9452,1.61,239
Mt02,hexagonal enclosure,-9.8711,-57.8872,3.18,454
Mt03,circular enclosure,-9.7048,-57.8772,5.11,719
Mt04,enclosure,-9.8132,-57.8212,2.41,349
Mt05,circular enclosure,-9.8221,-57.7557,1.77,262
Mt06,circular enclosure,-9.4150,-58.2325,1.82,268
Mt06,enclosure,-9.4149,-58.2326,,
Mt07,circular enclosure,-9.3501,-59.3228,9.88,1373
Mt07,circular enclosure,-9.3512,-59.3208,,
Mt07,causeway,-9.3476,-59.3146,,
Mt08,circular enclosure,-9.4506,-59.2340,0.9,143
Mt09,circular enclosure,-9.9833,-58.6019,0.79,127
Mt10,hexagonal enclosure,-10.0984,-58.4585,1.75,258
Mt11,circular enclosure,-10.3111,-58.6438,2.07,302
Mt12,hexagonal enclosure,-9.4245,-57.3703,3.47,494
Mt13,circular enclosure,-10.7534,-58.4414,0.13,37
Mt14,hexagonal enclosure,-10.0918,-59.6343,6.88,962
Mt16,circular enclosure,-10.3604,-58.5072,0.16,41
Mt17,hexagonal enclosure,-9.7611,-57.9857,2.04,298
Mt18,enclosure,-9.4176,-57.8512,4.53,639
Mt19,circular enclosure,-9.5936,-57.8374,0.1,33
Mt20,enclosure,-9.8721,-57.7716,1.01,157
Mt21,circular enclosure,-9.4852,-59.0036,0.48,85
Mt23,circular enclosure,-9.9197,-55.2413,1.59,236
Mt24,causeway,-9.6730,-55.5070,,
Mt25/26,circular enclosure,-9.9246,-58.5124,0.29,58
Mt25/26,circular enclosure,-9.9231,-58.5100,,
Mt27,circular enclosure,-9.4302,-59.1692,0.45,81
Mt27,circular enclosure,-9.4304,-59.1690,,
Mt28,circular enclosure,-9.3650,-59.2405,0.49,87
Mt29,circular enclosure,-9.2897,-59.3187,,
Mt29,causeway,-9.2909,-59.3240,0.77,125
Mt30,mounded village,-9.4957,-59.3287,0.77,125
Mt-31,hexagonal enclosure,-9.9671,-60.0786,2.11,308
Mt-32,enclosure,-9.7542,-57.9185,2.63,379
Mt-33,circular enclosure,-10.0513,-58.5755,0.21,48
Mt-34,circular enclosure,-10.1108,-58.5713,0.06,28
Mt-35/36,enclosure,-10.0298,-58.5775,0.24,73
Mt-35/36,circular enclosure,-10.0297,-58.5766,,
Mt-37,circular enclosure,-10.2691,-58.5424,0.19,45
NN,enclosure,-9.4575,-59.0066,1.54,230
Z-Mt01,circular enclosure,-9.7471,-58.1495,4.76,671
Z-Mt01,enclosure,-9.7476,-58.1493,,
Z-Mt01,circular enclosure,-9.7489,-58.1500,,
Z-Mt01,circular enclosure,-9.7494,-58.1499,,
Z-Mt02,circular enclosure,-10.1667,-58.1425,5.27,741
Z-Mt03,hexagonal enclosure,-9.5961,-57.7843,3.43,489
Z-Mt04,hexagonal enclosure,-9.8635,-57.6745,18.79,2594
Z-Mt04,enclosure,-9.8654,-57.6760,,
Z-Mt05,circular enclosure,-9.3335,-58.3389,3.41,486
Z-Mt05,circular enclosure,-9.3329,-58.3391,,
Z-Mt06,enclosure,-9.4370,-58.2823,3.6,512
Z-Mt07,circular enclosure,-9.4871,-58.1723,1.15,177
Z-Mt08,hexagonal enclosure,-9.4418,-58.1557,1.31,198
Z-Mt0910/,circular enclosure,-9.2415,-58.8590,0.59,100
Z-Mt0910/,circular enclosure,-9.2446,-58.8576,,
Z-Mt0910/,circular enclosure,-9.2429,-58.8564,,
Z-Mt0910/,circular enclosure,-9.2427,-58.8565,,
Z-Mt11,circular enclosure,-9.2116,-58.9347,0.35,67
Z-Mt11,circular enclosure,-9.2115,-58.9350,,
Z-Mt12,enclosure,-9.0253,-59.0231,3.34,477
Z-Mt12,circular enclosure,-9.0253,-59.0221,,
Z-Mt13,circular enclosure,-9.0478,-59.0994,0.73,119
Z-Mt14,circular enclosure,-9.3029,-59.0988,0.14,38
Z-Mt14,causeway,-9.2996,-59.1009,,
Z-Mt14,causeway,-9.3012,-59.0970,,
Z-Mt15,circular enclosure,-9.3129,-59.0958,0.04,25
Z-Mt16,circular enclosure,-9.0507,-59.1055,0.37,70
Z-Mt16,circular enclosure,-9.0509,-59.1072,,
Z-Mt16,circular enclosure,-9.0497,-59.1049,,
Z-Mt19,circular enclosure,-9.9663,-58.4527,0.14,38
Z-Mt20,circular enclosure,-10.3927,-58.3285,0.1,32
Z-Mt21,enclosure,-9.1798,-57.4240,8.92,1241
Z-Mt22,circular enclosure,-9.3220,-59.7402,0.15,39
Z-Mt23,circular enclosure,-9.4271,-59.7501,1.27,193
Z-Mt24/25,circular enclosure,-9.5016,-59.7943,2.12,309
Z-Mt24/25,enclosure,-9.5016,-59.7980,,
Z-Mt25/26,enclosure,-9.4867,-59.8014,0.51,88
Z-Mt26,circular enclosure,-9.4867,-59.8006,0.82,131
Z-Mt27,circular enclosure,-9.5065,-59.8122,2.44,353
Z-Mt28,hexagonal enclosure,-9.7239,-57.1729,4.99,703
Z-Mt29,circular enclosure,-9.7970,-57.9733,0.11,34
Z-Mt30,hexagonal enclosure,-10.1606,-57.9374,1.52,227
Z-Mt31,enclosure,-9.2278,-57.7010,3.37,480
Z-Mt32,hexagonal enclosure,-9.6583,-57.6511,1.21,185
Z-Mt33,circular enclosure,-9.2813,-58.9042,0.25,53
Z-Mt33,enclosure,-9.2816,-58.9044,,
Z-Mt34,mounded village,-9.4404,-59.2797,,
Z-Mt35,circular enclosure,-9.5330,-58.2266,0.12,36
Z-Mt36,enclosure,-9.9606,-59.7847,1.17,180
Z-Mt37,circular enclosure,-9.8468,-59.8073,0.4,74
Z-Mt38,circular enclosure,-9.5301,-59.0461,0.37,69
Z-Mt38,circular enclosure,-9.5302,-59.0465,,
Z-Mt39,circular enclosure,-9.6139,-60.2005,0.31,62
Z-Mt40,circular enclosure,-9.5131,-58.0065,0.14,39
Z-Mt41,enclosure,-10.6544,-58.427,4.71,665
Z-Mt42,circular enclosure,-9.3028,-59.0987,0.13,37
Z-Mt43,circular enclosure,-9.243,-58.8564,0.46,141
Z-Mt43,circular enclosure,-9.2426,-58.8565,,
Z-Mt43,circular enclosure,-9.2415,-58.859,,
Z-Mt43,circular enclosure,-9.2446,-58.8575,,
Z-Mt44,circular enclosure,-9.2874,-58.1381,0.07,29
Z-Mt45,enclosure,-9.6312,-59.0954,0.3,60
Z-Mt46,enclosure,-9.3249,-58.8959,0.19,46
